seed,rows,columns,method,iter,time,of
0,9,9,PDFT2,50,0.43431830406188965,440577.0
0,9,9,N21,50,6.748977184295654,217768.0
0,9,9,12N,50,5.0625128746032715,221073.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,50,0.7017631530761719,255936.0
1,9,9,PDFT1,50,0.6097979545593262,174062.0
1,9,9,PDFT2,50,0.44418859481811523,440577.0
1,9,9,N21,50,6.655378818511963,236789.0
1,9,9,12N,50,5.062721490859985,225860.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,50,0.7070152759552002,199852.0
2,9,9,PDFT1,50,0.657181978225708,166590.0
2,9,9,PDFT2,50,0.4549272060394287,440577.0
2,9,9,N21,50,6.6381237506866455,227746.0
2,9,9,12N,50,5.103908538818359,231614.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,50,0.6569950580596924,253160.0
3,9,9,PDFT1,50,0.657663106918335,179830.0
3,9,9,PDFT2,50,0.4511575698852539,440577.0
3,9,9,N21,50,6.624724388122559,220568.0
3,9,9,12N,50,5.298289060592651,223094.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,50,0.6810503005981445,222904.0
4,9,9,PDFT1,50,0.6402676105499268,166995.0
4,9,9,PDFT2,50,0.4588510990142822,440577.0
4,9,9,N21,50,7.2191667556762695,223664.0
4,9,9,12N,50,5.093805313110352,228060.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,50,0.7178530693054199,243031.0
5,9,9,PDFT1,50,0.7239990234375,173647.0
5,9,9,PDFT2,50,0.46962714195251465,440577.0
5,9,9,N21,50,6.8724284172058105,205182.0
5,9,9,12N,50,5.329764127731323,199047.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,50,0.6563730239868164,250701.0
6,9,9,PDFT1,50,0.7139015197753906,169341.0
6,9,9,PDFT2,50,0.4199998378753662,440577.0
6,9,9,N21,50,6.897639989852905,220568.0
6,9,9,12N,50,5.113607883453369,218947.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,50,0.7211363315582275,253467.0
7,9,9,PDFT1,50,0.6518065929412842,166347.0
7,9,9,PDFT2,50,0.4647805690765381,440577.0
7,9,9,N21,50,6.734596014022827,228205.0
7,9,9,12N,50,5.718953609466553,212934.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,50,0.8565654754638672,250875.0
8,9,9,PDFT1,50,0.9325070381164551,168619.0
8,9,9,PDFT2,50,0.7435116767883301,440577.0
8,9,9,N21,50,7.46002197265625,215658.0
8,9,9,12N,50,5.292362451553345,219257.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,50,0.6273436546325684,260292.0
9,9,9,PDFT1,50,0.6711521148681641,180206.0
9,9,9,PDFT2,50,0.42146897315979004,440577.0
9,9,9,N21,50,6.741169452667236,229661.0
9,9,9,12N,50,5.039788246154785,204669.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,100,1.3775427341461182,236526.0
0,9,9,PDFT1,100,1.3024230003356934,155273.0
0,9,9,PDFT2,100,0.9549009799957275,440577.0
0,9,9,N21,100,13.695212602615356,213884.0
0,9,9,12N,100,11.130651712417603,208964.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,100,1.4262051582336426,212830.0
1,9,9,PDFT1,100,1.307945966720581,169332.0
1,9,9,PDFT2,100,0.9041295051574707,440577.0
1,9,9,N21,100,14.539103984832764,213884.0
1,9,9,12N,100,10.018043518066406,205102.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,100,1.415013313293457,199852.0
2,9,9,PDFT1,100,1.301316738128662,178659.0
2,9,9,PDFT2,100,0.8727097511291504,440577.0
2,9,9,N21,100,13.3861243724823,218454.0
2,9,9,12N,100,10.591760158538818,232356.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,100,1.4499094486236572,221381.0
3,9,9,PDFT1,100,1.305940866470337,165046.0
3,9,9,PDFT2,100,0.89768385887146,440577.0
3,9,9,N21,100,13.661462306976318,223664.0
3,9,9,12N,100,10.177062511444092,224704.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,100,1.3836708068847656,222904.0
4,9,9,PDFT1,100,1.3624963760375977,175751.0
4,9,9,PDFT2,100,0.9189052581787109,440577.0
4,9,9,N21,100,14.499492645263672,218454.0
4,9,9,12N,100,11.150014400482178,212748.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,100,1.4281013011932373,243031.0
5,9,9,PDFT1,100,1.3851962089538574,148652.0
5,9,9,PDFT2,100,0.9116730690002441,440577.0
5,9,9,N21,100,13.434807062149048,214739.0
5,9,9,12N,100,10.27652382850647,216054.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,100,1.2933104038238525,250701.0
6,9,9,PDFT1,100,1.2801356315612793,155649.0
6,9,9,PDFT2,100,0.9262840747833252,440577.0
6,9,9,N21,100,14.290321350097656,223754.0
6,9,9,12N,100,10.332181930541992,211861.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,100,1.6405448913574219,247206.0
7,9,9,PDFT1,100,1.5571956634521484,167335.0
7,9,9,PDFT2,100,1.0513155460357666,440577.0
7,9,9,N21,100,14.627211809158325,223295.0
7,9,9,12N,100,10.773629426956177,202182.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,100,1.317288875579834,244477.0
8,9,9,PDFT1,100,1.2571470737457275,172144.0
8,9,9,PDFT2,100,0.9176414012908936,440577.0
8,9,9,N21,100,13.9194815158844,215984.0
8,9,9,12N,100,10.537375211715698,199667.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,100,1.3099775314331055,225083.0
9,9,9,PDFT1,100,1.3233952522277832,169881.0
9,9,9,PDFT2,100,0.9691731929779053,440577.0
9,9,9,N21,100,13.603754043579102,215984.0
9,9,9,12N,100,9.718936443328857,233864.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,500,7.239348888397217,228592.0
0,9,9,PDFT1,500,6.499181032180786,150836.0
0,9,9,PDFT2,500,4.559873342514038,440577.0
0,9,9,N21,500,77.3420615196228,176715.0
0,9,9,12N,500,54.994364738464355,196077.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,500,6.6809539794921875,212830.0
1,9,9,PDFT1,500,6.4328954219818115,168154.0
1,9,9,PDFT2,500,4.426047086715698,440577.0
1,9,9,N21,500,77.12179327011108,176715.0
1,9,9,12N,500,46.278053760528564,205525.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,500,6.317203998565674,199852.0
2,9,9,PDFT1,500,6.1521992683410645,163297.0
2,9,9,PDFT2,500,4.264718532562256,440577.0
2,9,9,N21,500,69.70038414001465,176715.0
2,9,9,12N,500,50.66912770271301,203656.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,500,6.074261426925659,221381.0
3,9,9,PDFT1,500,6.116260766983032,155462.0
3,9,9,PDFT2,500,4.251672744750977,144552.0
3,9,9,N21,500,69.64859747886658,179744.0
3,9,9,12N,500,50.20258903503418,204320.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,500,6.672351360321045,222904.0
4,9,9,PDFT1,500,6.331056118011475,152017.0
4,9,9,PDFT2,500,4.24766731262207,141239.0
4,9,9,N21,500,72.09525990486145,176715.0
4,9,9,12N,500,48.21977710723877,194526.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,500,6.1199493408203125,228779.0
5,9,9,PDFT1,500,6.112803220748901,155071.0
5,9,9,PDFT2,500,4.308056831359863,440577.0
5,9,9,N21,500,69.23708033561707,176715.0
5,9,9,12N,500,47.618590354919434,206010.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,500,6.007946729660034,225306.0
6,9,9,PDFT1,500,6.097113132476807,160499.0
6,9,9,PDFT2,500,4.169315814971924,440577.0
6,9,9,N21,500,69.21518063545227,180430.0
6,9,9,12N,500,51.10527062416077,198394.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,500,6.128706932067871,206945.0
7,9,9,PDFT1,500,6.171379566192627,155043.0
7,9,9,PDFT2,500,4.130959510803223,440577.0
7,9,9,N21,500,64.63830637931824,205182.0
7,9,9,12N,500,47.74466061592102,201465.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,500,6.202545642852783,219809.0
8,9,9,PDFT1,500,6.236438035964966,153163.0
8,9,9,PDFT2,500,4.175252676010132,440577.0
8,9,9,N21,500,69.10162615776062,176715.0
8,9,9,12N,500,50.15034818649292,203332.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,500,6.1994948387146,204743.0
9,9,9,PDFT1,500,6.223432779312134,159808.0
9,9,9,PDFT2,500,4.265386343002319,130245.0
9,9,9,N21,500,70.62642788887024,176715.0
9,9,9,12N,500,50.08163499832153,200839.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,1000,12.472779273986816,225916.0
0,9,9,PDFT1,1000,12.464787483215332,151765.0
0,9,9,PDFT2,1000,8.358696222305298,140987.0
0,9,9,N21,1000,138.122220993042,179744.0
0,9,9,12N,1000,99.85155820846558,203236.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,1000,12.034459352493286,212830.0
1,9,9,PDFT1,1000,12.255122423171997,155945.0
1,9,9,PDFT2,1000,8.282585620880127,440577.0
1,9,9,N21,1000,137.99517011642456,176715.0
1,9,9,12N,1000,100.12861013412476,217190.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,1000,12.302221298217773,199852.0
2,9,9,PDFT1,1000,12.17476773262024,147780.0
2,9,9,PDFT2,1000,8.320993661880493,151537.0
2,9,9,N21,1000,137.77158451080322,176715.0
2,9,9,12N,1000,99.05027770996094,204119.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,1000,12.464536666870117,221381.0
3,9,9,PDFT1,1000,12.457182884216309,157488.0
3,9,9,PDFT2,1000,8.281675338745117,134020.0
3,9,9,N21,1000,137.82202219963074,176715.0
3,9,9,12N,1000,93.15388751029968,215066.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,1000,12.463730573654175,222904.0
4,9,9,PDFT1,1000,12.200838565826416,158588.0
4,9,9,PDFT2,1000,8.344714879989624,440577.0
4,9,9,N21,1000,138.0127866268158,176715.0
4,9,9,12N,1000,95.4444522857666,209233.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,1000,12.282930850982666,222425.0
5,9,9,PDFT1,1000,12.498084783554077,156093.0
5,9,9,PDFT2,1000,8.307372808456421,440577.0
5,9,9,N21,1000,138.24832773208618,176715.0
5,9,9,12N,1000,96.36603212356567,199654.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,1000,12.091623067855835,210638.0
6,9,9,PDFT1,1000,12.386992454528809,145654.0
6,9,9,PDFT2,1000,8.283007144927979,440577.0
6,9,9,N21,1000,137.817227602005,176715.0
6,9,9,12N,1000,100.0763258934021,207777.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,1000,12.147216558456421,206945.0
7,9,9,PDFT1,1000,12.272860765457153,139673.0
7,9,9,PDFT2,1000,8.493062019348145,146086.0
