0,6,6,solver,-1,5.990072011947632,30310.0,1
1,6,6,solver,-1,4.289025545120239,41016.0,1
2,6,6,solver,-1,28.509331464767456,41242.0,1
3,6,6,solver,-1,4.9343390464782715,41642.0,1
4,6,6,solver,-1,8.750767230987549,41385.0,1
5,6,6,solver,-1,6.125705003738403,37774.0,1
6,6,6,solver,-1,4.156873464584351,36957.0,1
7,6,6,solver,-1,11.138906240463257,42042.0,1
8,6,6,solver,-1,6.3199074268341064,49053.0,1
9,6,6,solver,-1,11.730588674545288,35699.0,1
0,6,6,solver,-1,6.245937824249268,30310.0,1
1,6,6,solver,-1,4.405614137649536,41016.0,1
