seed,rows,columns,max_cap,min_cap,max_demand,min_demand,max_cost,min_cost,method,distro,time,of,flagSolver
4,5,5, 50, 30, 25, 20, 10000, 8000,solver,normal,4.2164366245269775,79871.0,1
4,5,5, 50, 30, 25, 20, 10000, 8000,solver,realistic,1.2367217540740967,61815.789473684206,1
4,6,6, 50, 30, 25, 20, 10000, 8000,solver,uniform,349.29916310310364,149395.0,1
4,6,6, 50, 30, 25, 20, 10000, 8000,solver,normal,16.61749291419983,125914.0,1
4,6,6, 50, 30, 25, 20, 10000, 8000,solver,realistic,21.392716884613037,70229.02457942857,-1
5,3,3, 50, 30, 25, 20, 10000, 8000,solver,uniform,0.07679295539855957,18086.0,1
5,3,3, 50, 30, 25, 20, 10000, 8000,solver,normal,0.2275397777557373,21938.0,1
5,3,3, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.06681990623474121,16597.014925373136,1
5,4,4, 50, 30, 25, 20, 10000, 8000,solver,uniform,1.716343879699707,53719.0,1
5,4,4, 50, 30, 25, 20, 10000, 8000,solver,normal,0.6063981056213379,54256.0,1
5,4,4, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.11666011810302734,33780.487804878045,1
5,5,5, 50, 30, 25, 20, 10000, 8000,solver,uniform,19.40701127052307,97984.0,1
5,5,5, 50, 30, 25, 20, 10000, 8000,solver,normal,9.454415321350098,102577.0,1
5,5,5, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.15754318237304688,64850.2601490244,-1
5,6,6, 50, 30, 25, 20, 10000, 8000,solver,uniform,247.87242245674133,150410.0,1
5,6,6, 50, 30, 25, 20, 10000, 8000,solver,normal,18.93255352973938,98238.13821934,-1
5,6,6, 50, 30, 25, 20, 10000, 8000,solver,realistic,9.696592092514038,71278.0936247561,-1
6,3,3, 50, 30, 25, 20, 10000, 8000,solver,uniform,0.2952094078063965,27020.0,1
6,3,3, 50, 30, 25, 20, 10000, 8000,solver,normal,0.0970456600189209,30111.0,1
6,3,3, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.05684661865234375,37587.30158730158,1
6,4,4, 50, 30, 25, 20, 10000, 8000,solver,uniform,2.253019094467163,62141.0,1
6,4,4, 50, 30, 25, 20, 10000, 8000,solver,normal,0.4278554916381836,33705.0,1
6,4,4, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.42536354064941406,36313.25301204819,1
6,5,5, 50, 30, 25, 20, 10000, 8000,solver,uniform,24.716700315475464,96720.0,1
6,5,5, 50, 30, 25, 20, 10000, 8000,solver,normal,11.442047357559204,78305.0,1
6,5,5, 50, 30, 25, 20, 10000, 8000,solver,realistic,2.6645941734313965,79180.72289156626,1
6,6,6, 50, 30, 25, 20, 10000, 8000,solver,uniform,336.41839027404785,142537.0,1
6,6,6, 50, 30, 25, 20, 10000, 8000,solver,normal,5.4861767292022705,98591.0,1
6,6,6, 50, 30, 25, 20, 10000, 8000,solver,realistic,5.301541090011597,92481.92771084337,1
7,3,3, 50, 30, 25, 20, 10000, 8000,solver,uniform,0.26330018043518066,26488.0,1
7,3,3, 50, 30, 25, 20, 10000, 8000,solver,normal,0.20245862007141113,25512.0,1
7,3,3, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.25232553482055664,27362.31884057971,1
7,4,4, 50, 30, 25, 20, 10000, 8000,solver,uniform,2.0316085815429688,61586.0,1
7,4,4, 50, 30, 25, 20, 10000, 8000,solver,normal,1.5116033554077148,55268.0,1
7,4,4, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.9963231086730957,46608.69565217391,1
7,5,5, 50, 30, 25, 20, 10000, 8000,solver,uniform,25.086634397506714,97310.0,1
7,5,5, 50, 30, 25, 20, 10000, 8000,solver,normal,4.9612343311309814,79337.0,1
7,5,5, 50, 30, 25, 20, 10000, 8000,solver,realistic,1.992734432220459,62578.94736842105,1
7,6,6, 50, 30, 25, 20, 10000, 8000,solver,uniform,531.7945375442505,154437.0,1
7,6,6, 50, 30, 25, 20, 10000, 8000,solver,normal,16.024099588394165,144949.0,1
7,6,6, 50, 30, 25, 20, 10000, 8000,solver,realistic,8.285245418548584,126850.0,1
8,3,3, 50, 30, 25, 20, 10000, 8000,solver,uniform,0.07779169082641602,25562.0,1
8,3,3, 50, 30, 25, 20, 10000, 8000,solver,normal,0.043881893157958984,19937.0,1
8,3,3, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.04783892631530762,19310.344827586207,1
8,4,4, 50, 30, 25, 20, 10000, 8000,solver,uniform,2.0320932865142822,54870.0,1
8,4,4, 50, 30, 25, 20, 10000, 8000,solver,normal,0.9805154800415039,37499.0,1
8,4,4, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.0937509536743164,28620.689655172413,1
8,5,5, 50, 30, 25, 20, 10000, 8000,solver,uniform,21.360995531082153,95223.0,1
8,5,5, 50, 30, 25, 20, 10000, 8000,solver,normal,4.970892429351807,70937.0,1
8,5,5, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.2732677459716797,55218.39080459769,1
8,6,6, 50, 30, 25, 20, 10000, 8000,solver,uniform,562.7396047115326,153173.0,1
8,6,6, 50, 30, 25, 20, 10000, 8000,solver,normal,19.457911729812622,127502.0,1
8,6,6, 50, 30, 25, 20, 10000, 8000,solver,realistic,9.684526920318604,100367.81609195404,1
0,7,7, 50, 30, 25, 20, 10000, 8000,solver,uniform,7202.0248103141785,207157.0,1
0,7,7, 50, 30, 25, 20, 10000, 8000,solver,normal,11.796285629272461,119027.21736319001,-1
0,7,7, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.18984436988830566,81984.7096235294,-1
0,8,8, 50, 30, 25, 20, 10000, 8000,solver,uniform,7201.912538051605,279261.0,1
0,8,8, 50, 30, 25, 20, 10000, 8000,solver,normal,6825.32,203518.65627175,1
0,8,8, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.11668729782104492,144349.4184204941,-1
0,9,9, 50, 30, 25, 20, 10000, 8000,solver,uniform,7201.637836933136,391137.0,1
0,9,9, 50, 30, 25, 20, 10000, 8000,solver,normal,7201.5689754213,255335.53220873003,1
0,9,9, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.09574365615844727,244716.04992955292,-1
1,7,7, 50, 30, 25, 20, 10000, 8000,solver,uniform,7202.438536167145,214623.0,1
1,7,7, 50, 30, 25, 20, 10000, 8000,solver,normal,434.62224674224854,250124.0,1
1,7,7, 50, 30, 25, 20, 10000, 8000,solver,realistic,32.448877573013306,197358.024691358,1
1,8,8, 50, 30, 25, 20, 10000, 8000,solver,uniform,7202.131569385529,300687.0,1
1,8,8, 50, 30, 25, 20, 10000, 8000,solver,normal,7202.365489,178084.550858144,1
1,8,8, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.9317667484283447,168672.5696078025,-1
1,9,9, 50, 30, 25, 20, 10000, 8000,solver,uniform,7201.49977350235,371491.0,1
1,9,9, 50, 30, 25, 20, 10000, 8000,solver,normal,7201.9743241846,211372.01271698598,1
1,9,9, 50, 30, 25, 20, 10000, 8000,solver,realistic,443.8642315864563	,254571.4285714286,1
2,7,7, 50, 30, 25, 20, 10000, 8000,solver,uniform,7201.890433311462,211800.0,1
2,7,7, 50, 30, 25, 20, 10000, 8000,solver,normal,135.91297054290771,117450.59102142003,-1
2,7,7, 50, 30, 25, 20, 10000, 8000,solver,realistic,0.1585679054260254,113748.50753277107,-1
0,3,3, 40, 40, 25, 20, 10000, 8000,solver,uniform,0.0777592658996582,25738.0,1
0,3,3, 40, 40, 25, 20, 10000, 8000,solver,normal,0.2584507465362549,25508.0,1
0,3,3, 40, 40, 25, 20, 10000, 8000,solver,realistic,0.05141305923461914,30000.0,1
