seed,row,column,method,iter,time,of,feseable
6,6,6,solver,4,2.741314173,36957,1
7,6,6,solver,4,7.755230188,42042,1
8,6,6,solver,4,4.743082762,49053,1
9,6,6,solver,4,8.499774456,35699,1
10,6,6,solver,4,5.364700556,32610,1
11,6,6,solver,4,2.223632574,49682,1
12,6,6,solver,4,2.55842948,38181,1
13,6,6,solver,4,4.940961361,32130,1
14,6,6,solver,4,1.923819065,30130,1
15,6,6,solver,4,0.406749487,32192,1
16,6,6,solver,4,2.160668612,33630,1
17,6,6,solver,4,22.05043864,42412,1
18,6,6,solver,4,9.004462242,35612,1
19,6,6,solver,4,40.29021931,50043,1
20,6,6,solver,4,4.325339079,32221,1
21,6,6,solver,4,26.34079695,49160,1
22,6,6,solver,4,3.991537809,36813,1
23,6,6,solver,4,5.979322433,31450,1
24,6,6,solver,4,11.97963214,39501,1
25,6,6,solver,4,14.07634163,33281,1
26,6,6,solver,4,13.38476944,40477,1
27,6,6,solver,4,16.63776684,42858,1
28,6,6,solver,4,5.999302864,42935,1
29,6,6,solver,4,15.45349503,37927,1
0,6,6,solver,5,4.020527124,30310,1
1,6,6,solver,5,2.884227037,41016,1
2,6,6,solver,5,19.70388079,41242,1
3,6,6,solver,5,3.390911341,41642,1
4,6,6,solver,5,6.069267273,41385,1
5,6,6,solver,5,3.953565598,37774,1
6,6,6,solver,5,2.690345287,36957,1
7,6,6,solver,5,7.989086628,42042,1
8,6,6,solver,5,4.694114685,49053,1
9,6,6,solver,5,7.572343349,35699,1
10,6,6,solver,5,4.982932568,32610,1
11,6,6,solver,5,2.132688761,49682,1
12,6,6,solver,5,2.484472513,38181,1
13,6,6,solver,5,5.015912533,32130,1
14,6,6,solver,5,1.905828714,30130,1
15,6,6,solver,5,0.411744833,32192,1
16,6,6,solver,5,2.113702059,33630,1
17,6,6,solver,5,21.50577402,42412,1
18,6,6,solver,5,9.004462004,35612,1
19,6,6,solver,5,39.28483891,50043,1
20,6,6,solver,5,4.375311136,32221,1
21,6,6,solver,5,24.97264099,49160,1
22,6,6,solver,5,4.019524574,36813,1
23,6,6,solver,5,5.696494579,31450,1
24,6,6,solver,5,11.41497946,39501,1
25,6,6,solver,5,13.68858099,33281,1
26,6,6,solver,5,13.31081414,40477,1
27,6,6,solver,5,16.53283167,42858,1
28,6,6,solver,5,5.930350065,42935,1
29,6,6,solver,5,15.03675127,37927,1
0,6,6,solver,6,4.119465828,30310,1
1,6,6,solver,6,2.849247456,41016,1
2,6,6,solver,6,19.518996,41242,1
3,6,6,solver,6,3.394912243,41642,1
4,6,6,solver,6,6.0972507,41385,1
5,6,6,solver,6,4.552200317,37774,1
6,6,6,solver,6,3.132073879,36957,1
7,6,6,solver,6,7.731245518,42042,1
8,6,6,solver,6,4.685117245,49053,1
9,6,6,solver,6,7.637302876,35699,1
10,6,6,solver,6,5.013916492,32610,1
11,6,6,solver,6,2.149676561,49682,1
12,6,6,solver,6,2.497463942,38181,1
13,6,6,solver,6,4.992929459,32130,1
14,6,6,solver,6,1.924816847,30130,1
15,6,6,solver,6,0.415744066,32192,1
16,6,6,solver,6,2.22163558,33630,1
17,6,6,solver,6,22.23809934,42412,1
18,6,6,solver,6,9.254088879,35612,1
19,6,6,solver,6,39.70320511,50043,1
20,6,6,solver,6,4.417066574,32221,1
21,6,6,solver,6,25.4997499,49160,1
22,6,6,solver,6,4.033777952,36813,1
23,6,6,solver,6,5.746135235,31450,1
24,6,6,solver,6,11.6702311,39501,1
25,6,6,solver,6,13.69464564,33281,1
26,6,6,solver,6,13.52014589,40477,1
27,6,6,solver,6,16.73046398,42858,1
28,6,6,solver,6,6.010159731,42935,1
29,6,6,solver,6,15.88358355,37927,1
0,6,6,solver,7,4.092530727,30310,1
1,6,6,solver,7,2.963476658,41016,1
2,6,6,solver,7,19.67168188,41242,1
3,6,6,solver,7,3.509796619,41642,1
4,6,6,solver,7,6.231684685,41385,1
5,6,6,solver,7,3.908126831,37774,1
6,6,6,solver,7,2.781180382,36957,1
7,6,6,solver,7,7.754165649,42042,1
8,6,6,solver,7,4.696048975,49053,1
9,6,6,solver,7,7.638027668,35699,1
10,6,6,solver,7,5.087085009,32610,1
11,6,6,solver,7,2.172215462,49682,1
12,6,6,solver,7,2.575540066,38181,1
13,6,6,solver,7,5.108967781,32130,1
14,6,6,solver,7,1.942686796,30130,1
15,6,6,solver,7,0.41474843,32192,1
16,6,6,solver,7,2.126676321,33630,1
17,6,6,solver,7,22.24938822,42412,1
18,6,6,solver,7,9.140431166,35612,1
19,6,6,solver,7,40.06506228,50043,1
20,6,6,solver,7,4.50536561,32221,1
21,6,6,solver,7,25.5562458,49160,1
22,6,6,solver,7,4.039357662,36813,1
23,6,6,solver,7,5.826903105,31450,1
24,6,6,solver,7,11.66704512,39501,1
25,6,6,solver,7,13.65862131,33281,1
26,6,6,solver,7,13.71941638,40477,1
27,6,6,solver,7,16.62629962,42858,1
28,6,6,solver,7,6.059179783,42935,1
29,6,6,solver,7,15.4022584,37927,1
0,6,6,solver,8,4.152286053,30310,1
1,6,6,solver,8,2.935008287,41016,1
2,6,6,solver,8,19.98044181,41242,1
3,6,6,solver,8,3.460129738,41642,1
4,6,6,solver,8,6.108608246,41385,1
5,6,6,solver,8,3.954708099,37774,1
6,6,6,solver,8,2.78512001,36957,1
7,6,6,solver,8,7.937201738,42042,1
8,6,6,solver,8,4.703925848,49053,1
9,6,6,solver,8,7.688739061,35699,1
10,6,6,solver,8,5.118368387,32610,1
11,6,6,solver,8,2.156867027,49682,1
12,6,6,solver,8,2.572995186,38181,1
13,6,6,solver,8,5.094480515,32130,1
14,6,6,solver,8,1.942392826,30130,1
15,6,6,solver,8,0.418750525,32192,1
16,6,6,solver,8,2.208884478,33630,1
17,6,6,solver,8,21.99679804,42412,1
18,6,6,solver,8,9.04942441,35612,1
19,6,6,solver,8,40.34362364,50043,1
20,6,6,solver,8,4.42724967,32221,1
21,6,6,solver,8,25.41776538,49160,1
22,6,6,solver,8,4.090909719,36813,1
23,6,6,solver,8,5.878954172,31450,1
